 Ens#   Beam1   Beam2   Beam3   Beam4     Depth  Quality
         (m)     (m)     (m)     (m)       (m)    4=best
  200   -1.00   -1.00   -1.00   -1.00      0.00  0
  201   -1.00   -1.00   -1.00   -1.00      0.00  0
  202   -1.00   -1.00   -1.00   -1.00      0.00  0
  203   -1.00   -1.00   -1.00   -1.00      0.00  0
  204   -1.00   -1.00   -1.00   -1.00      0.00  0
  205   -1.00   -1.00   -1.00   -1.00      0.00  0
  206   -1.00   -1.00   -1.00   -1.00      0.00  0
  207   -1.00   -1.00   -1.00   -1.00      0.00  0
  208   -1.00   -1.00   -1.00   -1.00      0.00  0
  209   -1.00   -1.00   -1.00   -1.00      0.00  0
  210   -1.00   -1.00   -1.00   -1.00      0.00  0
  211   -1.00   -1.00   -1.00   -1.00      0.00  0
  212   -1.00   -1.00   -1.00   -1.00      0.00  0
  213   -1.00   -1.00   -1.00   -1.00      0.00  0
  214   -1.00   -1.00   -1.00   -1.00      0.00  0
  215   -1.00   -1.00   -1.00   -1.00      0.00  0
  216   -1.00   -1.00   -1.00   -1.00      0.00  0
  217   -1.00   -1.00   -1.00   -1.00      0.00  0
  218   -1.00   -1.00   -1.00   -1.00      0.00  0
  219   -1.00   -1.00   -1.00   -1.00      0.00  0
  220   -1.00   -1.00   -1.00   -1.00      0.00  0
  221   -1.00   -1.00   -1.00   -1.00      0.00  0
  222   -1.00   -1.00   -1.00   -1.00      0.00  0
  223   -1.00   -1.00   -1.00   -1.00      0.00  0
  224   -1.00   -1.00   -1.00   -1.00      0.00  0
  225   -1.00   -1.00   -1.00   -1.00      0.00  0
  226   -1.00   -1.00   -1.00   -1.00      0.00  0
  227   -1.00   -1.00   -1.00   -1.00      0.00  0
  228   -1.00   -1.00   -1.00   -1.00      0.00  0
  229   -1.00   -1.00   -1.00   -1.00      0.00  0
  230   -1.00   -1.00   -1.00   -1.00      0.00  0
  231   -1.00   -1.00   -1.00   -1.00      0.00  0
  232   -1.00   -1.00   -1.00   -1.00      0.00  0
  233   -1.00   -1.00   -1.00   -1.00      0.00  0
  234   -1.00   -1.00   -1.00   -1.00      0.00  0
  235   -1.00   -1.00   -1.00   -1.00      0.00  0
  236   -1.00   -1.00   -1.00   -1.00      0.00  0
  237   -1.00   -1.00   -1.00   -1.00      0.00  0
  238   -1.00   -1.00   -1.00   -1.00      0.00  0
  239   -1.00   -1.00   -1.00   -1.00      0.00  0
  240   -1.00   -1.00   -1.00   -1.00      0.00  0
  241   -1.00   -1.00   -1.00   -1.00      0.00  0
  242   -1.00   -1.00   -1.00   -1.00      0.00  0
  243   -1.00   -1.00   -1.00   -1.00      0.00  0
  244   -1.00   -1.00   -1.00   -1.00      0.00  0
  245   -1.00   -1.00   -1.00   -1.00      0.00  0
  246   -1.00   -1.00   -1.00   -1.00      0.00  0
  247   -1.00   -1.00   -1.00   -1.00      0.00  0
  248   -1.00   -1.00   -1.00   -1.00      0.00  0
  249   -1.00   -1.00   -1.00   -1.00      0.00  0
  250   -1.00   -1.00   -1.00   -1.00      0.00  0
  251   -1.00   -1.00   -1.00   -1.00      0.00  0
  252   -1.00   -1.00   -1.00   -1.00      0.00  0
  253   -1.00   -1.00   -1.00   -1.00      0.00  0
  254   29.05   28.75   29.05   28.58     28.84  4
  255   28.43   28.25   28.63   28.22     28.37  4
  256   27.79   27.77   28.00   27.89     27.84  4
  257   27.91   27.72   28.02   27.58     27.79  4
  258   27.89   27.61   27.92   27.59     27.73  4
  259   27.62   27.49   27.79   27.46     27.57  4
  260   27.65   27.39   27.66   27.37     27.50  4
  261   27.54   27.21   27.59   27.14     27.35  4
  262   27.36   26.95   27.42   26.87     27.13  4
  263   27.28   26.79   27.31   26.71     27.00  4
  264   27.00   26.57   27.01   26.50     26.75  4
  265   26.66   26.41   26.75   26.33     26.52  4
  266   26.48   26.23   26.53   26.19     26.33  4
  267   26.31   26.14   26.32   26.00     26.17  4
  268   26.14   26.02   26.02   25.77     25.97  4
  269   25.92   25.72   26.00   25.64     25.80  4
  270   25.94   25.76   25.75   25.54     25.72  4
  271   25.81   25.62   25.70   25.34     25.59  4
  272   25.89   25.65   25.97   25.58     25.75  4
  273   25.58   25.37   25.44   25.21     25.38  4
  274   25.85   25.40   25.78   25.44     25.59  4
  275   25.63   25.24   25.62   24.95     25.34  4
  276   25.44   25.11   25.45   24.83     25.18  4
  277   25.26   24.93   25.50   24.80     25.10  4
  278   25.53   24.95   25.60   24.93     25.23  4
  279   25.26   24.77   25.48   24.88     25.07  4
  280   25.16   24.83   25.41   24.80     25.03  4
  281   25.34   25.03   24.98   24.72     25.00  4
  282   25.54   25.29   24.88   24.74     25.09  4
  283   25.60   25.38   24.92   24.81     25.15  4
  284   25.70   25.48   25.68   25.36     25.53  4
  285   25.75   25.55   25.74   25.51     25.62  4
  286   25.91   25.68   25.95   25.62     25.77  4
  287   26.03   25.81   26.10   25.77     25.91  4
  288   26.13   25.88   26.24   25.85     26.00  4
  289   26.30   26.04   26.39   26.00     26.16  4
  290   26.25   26.00   26.36   25.89     26.10  4
  291   26.40   26.17   26.46   26.03     26.24  4
  292   26.41   26.23   26.35   25.94     26.21  4
  293   26.89   26.33   27.03   26.23     26.59  4
  294   27.26   26.66   27.40   26.55     26.94  4
  295   27.30   26.72   27.46   26.68     27.01  4
  296   27.25   27.05   27.46   26.83     27.12  4
  297   27.42   26.97   27.51   26.97     27.19  4
  298   26.71   27.01   27.76   27.35     27.18  4
  299   22.58   27.14   27.38   26.99     25.84  4
  300   22.99   26.72   27.78   27.40     26.05  4
  301   27.65   26.78   27.63   27.29     27.31  4
  302   22.18   27.32   27.76   27.26     25.88  4
  303   27.81   27.72   27.95   27.60     27.75  4
  304   27.77   27.64   22.42   27.13     26.01  4
  305   27.88   27.66   27.75   27.47     27.67  4
  306   27.75   27.61   27.72   27.41     27.60  4
  307   27.75   27.52   27.75   27.39     27.58  4
  308   27.43   27.42   22.15   26.77     25.72  4
  309   27.57   27.32   22.25   26.82     25.77  4
  310   26.52   26.49   26.59   26.42     26.48  4
  311   26.54   26.50   26.49   26.23     26.42  4
  312   25.96   26.02   26.09   26.00     25.99  4
  313   26.03   25.99   25.98   25.84     25.94  4
  314   25.74   25.63   25.59   25.46     25.58  4
  315   25.56   25.56   25.61   25.54     25.54  4
  316   25.36   25.65   26.15   25.84     25.73  4
  317   26.03   25.98   26.27   25.91     26.02  4
  318   25.56   25.73   26.01   25.76     25.74  4
  319   25.42   25.50   26.01   25.66     25.62  4
  320   24.99   24.95   25.75   25.48     25.27  4
  321   24.81   24.80   24.94   24.69     24.79  4
  322   25.43   24.91   25.16   24.85     25.07  4
  323   25.38   25.07   25.30   24.93     25.15  4
  324   25.29   24.96   25.37   24.76     25.07  4
  325   25.07   24.67   25.21   24.57     24.86  4
  326   24.84   24.45   25.06   24.55     24.70  4
  327   24.54   24.31   24.61   24.30     24.42  4
  328   24.59   24.29   24.64   24.31     24.44  4
  329   24.57   24.51   24.97   24.54     24.63  4
  330   24.76   24.30   24.68   24.26     24.48  4
  331   24.64   24.40   24.69   24.33     24.50  4
  332   24.66   24.44   24.79   24.44     24.56  4
  333   24.53   24.41   24.78   24.48     24.53  4
  334   24.66   24.57   25.01   24.67     24.71  4
  335   25.31   24.67   25.26   24.78     24.98  4
  336   24.99   24.91   24.88   24.80     24.87  4
  337   25.12   24.82   24.95   24.75     24.89  4
  338   25.07   24.97   25.11   24.84     24.98  4
  339   25.13   25.09   25.27   24.84     25.06  4
  340   25.44   25.68   25.76   25.47     25.56  4
  341   24.74   25.04   24.95   25.01     24.91  4
  342   25.47   25.15   25.44   25.32     25.32  4
  343   25.76   25.62   25.81   25.79     25.72  4
  344   25.93   26.53   26.39   26.29     26.26  4
  345   26.68   26.32   26.89   26.38     26.54  4
  346   27.20   26.66   26.98   26.76     26.88  4
  347   27.46   26.95   27.41   27.17     27.22  4
  348   27.45   27.12   27.50   27.05     27.26  4
  349   27.53   27.28   27.60   27.19     27.38  4
  350   27.66   27.35   27.68   27.26     27.47  4
  351   27.69   27.40   27.73   27.36     27.52  4
  352   27.73   27.43   27.77   27.36     27.55  4
  353   27.70   27.44   27.76   27.35     27.54  4
  354   27.68   27.44   27.76   27.39     27.54  4
  355   27.69   27.45   27.78   27.40     27.56  4
  356   27.69   27.45   27.74   27.38     27.54  4
  357   27.65   27.39   27.73   27.31     27.50  4
  358   27.57   27.32   27.62   27.24     27.41  4
  359   27.54   27.24   27.60   27.16     27.36  4
  360   27.48   27.15   27.53   27.04     27.28  4
  361   27.40   27.02   27.43   26.89     27.16  4
  362   27.27   26.85   27.33   26.76     27.03  4
  363   27.13   26.74   27.14   26.60     26.88  4
  364   26.95   26.59   26.93   26.49     26.72  4
  365   26.76   26.45   26.78   26.36     26.56  4
  366   26.63   26.34   26.65   26.24     26.44  4
  367   26.46   26.14   26.50   26.08     26.27  4
  368   26.32   26.02   26.37   25.92     26.13  4
  369   26.15   25.84   26.23   25.82     25.99  4
  370   26.02   25.74   26.09   25.71     25.87  4
  371   25.89   25.66   26.02   25.62     25.77  4
  372   25.81   25.57   25.90   25.52     25.67  4
  373   25.72   25.50   25.80   25.45     25.59  4
  374   25.66   25.44   25.74   25.37     25.53  4
  375   25.60   25.40   25.69   25.32     25.48  4
  376   25.59   25.39   25.65   25.32     25.47  4
  377   25.61   25.40   25.68   25.28     25.47  4
  378   25.63   25.41   25.69   25.33     25.50  4
